Jenis Kelamin (dalam persen);2018;2019;2020;2021;2022;2023
Laki-Laki;82.95;83;81.84;82.19;83.48;84.5
Perempuan;51.83;46.74;50.71;53.04;42.24;57.19
Laki-Laki + Perempuan;68.58;66.21;67.38;68.62;64.24;71.86
